instance Boomer-MaxSAT XGBoost-MaxSAT
instance1149 0.007 0.052
instance1150 0.006 0.036
instance1151 0.004 0.065
instance1152 0.005 0.062
instance1153 0.001 0.029
instance1154 0.002 0.037
instance1155 0.007 0.047
instance1156 0.003 0.066
instance1157 0.003 0.041
instance1158 0.009 0.061
instance1159 0.008 0.071
instance1160 0.005 0.057
instance1161 0.007 0.064
instance1162 0.003 0.059
instance1163 0.002 0.007
instance1164 0.001 0.008
instance1165 0.002 0.036
instance1166 0.003 0.087
instance1167 0.005 0.029
instance1168 0.007 0.054
instance1169 0.002 0.008
instance1170 0.003 0.05
instance1171 0.002 0.011
instance1172 0.005 0.057
instance1173 0.008 0.049
instance1174 0.002 0.007
instance1175 0.008 0.066
instance1176 0.002 0.008
instance1177 0.01 0.059
instance1178 0.003 0.089
instance1179 0.001 0.034
instance1180 0.003 0.011
instance1181 0.003 0.052
instance1182 0.005 0.063
instance1183 0.004 0.032
instance1184 0.007 0.056
instance1185 0.009 0.065
instance1186 0.007 0.058
instance1187 0.007 0.06
instance1188 0.005 0.061
instance1189 0.003 0.051
instance1190 0.004 0.051
instance1191 0.007 0.062
instance1192 0.003 0.094
instance1193 0.003 0.016
instance1194 0.006 0.058
instance1195 0.004 0.058
instance1196 0.007 0.035
instance1197 0.004 0.027
instance1198 0.001 0.01
instance1199 0.001 0.008
instance1200 0.003 0.071
instance1201 0.003 0.058
instance1202 0.003 0.061
instance1203 0.007 0.08
instance1204 0.005 0.041
instance1205 0.003 0.097
instance1206 0.006 0.044
instance1207 0.004 0.009
instance1208 0.003 0.004
instance1209 0.002 0.008
instance1210 0.003 0.067
instance1211 0.009 0.07
instance1212 0.002 0.041
instance1213 0.006 0.035
instance1214 0.002 0.052
instance1215 0.003 0.01
instance1216 0.007 0.057
instance1217 0.008 0.066
instance1218 0.142 0.819
instance1219 0.13 1.072
instance1220 0.098 1.146
instance1221 0.155 1.246
instance1222 0.108 0.676
instance1223 0.109 0.774
instance1224 0.118 0.704
instance1225 0.152 1.016
instance1226 0.096 1.005
instance1227 0.102 0.879
instance1228 0.145 0.889
instance1229 0.127 0.791
instance1230 0.153 1.033
instance1231 0.118 1.05
instance1232 0.12 0.912
instance1233 0.167 1.061
instance1234 0.15 1.065
instance1235 0.13 0.716
instance1236 0.11 1.254
instance1237 0.136 0.963
instance1238 0.136 0.678
instance1239 0.141 1.093
instance1240 0.099 0.848
instance1241 0.097 1.291
instance1242 0.135 1.153
instance1243 0.126 0.69
instance1244 0.16 1.021
instance1245 0.164 1.045
instance1246 0.089 0.724
instance1247 0.093 0.769
instance1248 0.133 1.144
instance1249 0.089 0.752
instance1250 0.133 1.188
instance1251 0.122 1.03
instance1252 0.148 1.1
instance1253 0.138 1.027
instance1254 0.088 1.38
instance1255 0.113 1.073
instance1256 0.113 0.756
instance1257 0.129 1.057
instance1258 0.132 1.078
instance1259 0.119 1.25
instance1260 0.117 1.151
instance1261 0.123 1.08
instance1262 0.104 0.854
instance1263 0.122 1.102
instance1264 0.119 1.169
instance1265 0.141 0.676
instance1266 0.135 0.717
instance1267 0.138 1.056
instance1268 0.129 0.722
instance1269 0.102 0.901
instance1270 0.134 1.118
instance1271 0.108 0.715
instance1272 0.105 0.681
instance1273 0.192 0.851
instance1274 0.096 0.728
instance1275 0.115 1.287
instance1276 0.115 0.741
instance1277 0.088 0.772
instance1278 0.105 1.052
instance1279 0.143 0.697
instance1280 0.125 1.136
instance1281 0.133 1.337
instance1282 0.123 1.066
instance1283 0.1 0.716
instance1284 0.11 0.726
instance1285 0.127 0.696
instance1286 0.104 1.241
instance1287 0.101 0.896
instance1288 0.141 1.071
instance1289 0.13 0.743
instance1290 0.127 1.14
instance1291 0.085 0.765
instance1292 0.091 1.032
instance1293 0.159 1.02
instance1294 0.142 1.041
instance1295 0.099 1.618
instance1296 0.153 1.113
instance1297 0.143 1.214
instance1298 0.112 0.708
instance1299 0.136 0.903
instance1300 0.132 1.094
instance1301 0.104 1.037
instance1302 0.092 1.252
instance1303 0.088 0.701
instance1304 0.112 0.822
instance1305 0.118 0.74
instance1306 0.129 1.008
instance1307 0.106 1.354
instance1308 0.126 1.035
instance1309 0.117 1.172
instance1310 0.11 1.061
instance1311 0.111 1.225
instance1312 0.116 1.027
instance1313 0.116 1.158
instance1314 0.104 0.833
instance1315 0.115 0.902
instance1316 0.111 1.242
instance1317 0.083 0.722
instance1318 0.116 0.709
instance1319 0.124 1.429
instance1320 0.093 0.698
instance1321 0.138 1.049
instance1322 0.082 0.73
instance1323 0.083 0.925
instance1324 0.137 1.048
instance1325 0.144 0.765
instance1326 0.126 1.078
instance1327 0.131 0.875
instance1328 0.134 1.138
instance1329 0.097 1.138
instance1330 0.102 1.17
instance1331 0.12 1.279
instance1332 0.11 0.687
instance1333 0.122 1.075
instance1334 0.135 1.131
instance1335 0.121 1.008
instance1336 0.094 1.24
instance1337 0.117 0.849
instance1338 0.101 0.78
instance1339 0.134 1.127
instance1340 0.099 1.506
instance1341 0.153 0.722
instance1342 0.096 1.093
instance1343 0.161 1.144
instance1344 0.11 0.756
instance1345 0.119 0.705
instance1346 0.108 1.065
instance1347 0.129 1.19
instance1348 0.104 0.768
instance1349 0.127 1.135
instance1350 0.143 1.152
instance1351 0.092 0.776
instance1352 0.165 0.731
instance1353 0.12 0.77
instance1354 0.083 1.28
instance1355 0.105 0.945
instance1356 0.147 0.851
instance1357 0.173 1.145
instance1358 0.112 1.037
instance1359 0.097 1.198
instance1360 0.106 0.841
instance1361 0.107 1.654
instance1362 0.092 0.872
instance1363 0.131 1.721
instance1364 0.096 1.015
instance1365 0.116 1.269
instance1366 0.104 0.746
instance1367 0.106 0.974
instance1368 0.082 1.123
instance1369 0.107 0.997
instance1370 0.143 1.123
instance1371 0.094 1.58
instance1372 0.124 1.235
instance1373 0.154 1.236
instance1374 0.103 1.52
instance1375 0.12 0.966
instance1376 0.099 1.111
instance1377 0.116 0.735
instance1378 0.124 0.894
instance1379 0.132 1.395
instance1380 0.144 1.186
instance1381 0.123 1.227
instance1382 0.144 1.233
instance1383 0.156 1.107
instance1384 0.094 1.172
instance1385 0.113 1.101
instance1386 0.131 1.115
instance1387 0.094 0.891
instance1388 0.13 1.102
instance1389 0.084 0.853
instance1390 0.113 0.941
instance1391 0.134 1.323
instance1392 0.147 1.099
instance1393 0.112 0.798
instance1394 0.132 1.198
instance1395 0.136 1.193
instance1396 0.132 1.216
instance1397 0.114 1.371
instance1398 0.119 1.253
instance1399 0.149 1.346
instance1400 0.125 0.894
instance1401 0.11 1.337
instance1402 0.127 1.549
instance1403 0.127 1.476
instance1404 0.111 1.305
instance1405 0.147 1.444
instance1406 0.147 1.326
instance1407 0.093 0.912
instance1408 0.102 1.006
instance1409 0.155 0.794
instance1410 0.113 1.054
instance1411 0.131 1.221
instance1412 0.093 0.955
instance1413 0.14 1.278
instance1414 0.132 1.258
instance1415 0.127 0.982
instance1416 0.104 1.291
instance1417 0.127 1.058
instance1418 0.001 0.001
instance1419 0.001 0.001
instance1420 0.001 0.001
instance1421 0.001 0.001
instance1422 0.001 0.001
instance1423 0.001 0.001
instance1424 0.001 0.001
instance1425 0.001 0.001
instance1426 0.001 0.001
instance1427 0.001 0.001
instance1428 0.001 0.001
instance1429 0.001 0.001
instance1430 0.001 0.001
instance1431 0.001 0.001
instance1432 0.001 0.001
instance1433 0.001 0.001
instance1434 0.001 0.001
instance1435 0.001 0.001
instance1436 0.001 0.001
instance1437 0.001 0.001
instance1438 0.001 0.001
instance1439 0.001 0.001
instance1440 0.001 0.001
instance1441 0.001 0.001
instance1442 0.001 0.001
instance1443 0.001 0.001
instance1444 0.001 0.001
instance1445 0.001 0.001
instance1446 0.001 0.001
instance1447 0.001 0.001
instance1448 0.001 0.001
instance1449 0.001 0.001
instance1450 0.001 0.001
instance1451 0.001 0.001
instance1452 0.001 0.001
instance1453 0.001 0.001
instance1454 0.001 0.001
instance1455 0.001 0.001
instance1456 0.001 0.001
instance1457 0.001 0.001
instance1458 0.001 0.001
instance1459 0.001 0.001
instance1460 0.001 0.001
instance1461 0.001 0.001
instance1462 0.001 0.001
instance1463 0.001 0.001
instance1464 0.001 0.001
instance1465 0.001 0.001
instance1466 0.001 0.001
instance1467 0.001 0.001
instance1468 0.001 0.001
instance1469 0.001 0.001
instance1470 0.001 0.001
instance1471 0.001 0.001
instance1472 0.001 0.001
instance1473 0.001 0.001
instance1474 0.001 0.001
instance1475 0.001 0.001
instance1476 0.001 0.001
instance1477 0.001 0.001
instance1478 0.001 0.001
instance1479 0.001 0.001
instance1480 0.001 0.001
instance1481 0.001 0.001
instance1482 0.001 0.001
instance1483 0.001 0.001
instance1484 0.001 0.001
instance1485 0.001 0.001
instance1486 0.001 0.001
instance1487 0.001 0.001
instance1488 0.001 0.001
instance1489 0.001 0.001
instance1490 0.001 0.001
instance1491 0.001 0.001
instance1492 0.001 0.001
instance1493 0.001 0.001
instance1494 0.001 0.001
instance1495 0.001 0.001
instance1496 0.001 0.001
instance1497 0.001 0.001
instance1498 0.001 0.001
instance1499 0.001 0.001
instance1500 0.001 0.001
instance1501 0.001 0.001
instance1502 0.001 0.001
instance1503 0.001 0.001
instance1504 0.001 0.001
instance1505 0.001 0.001
instance1506 0.001 0.001
instance1507 0.001 0.001
instance1508 0.001 0.001
instance1509 0.001 0.001
instance1510 0.001 0.001
instance1511 0.001 0.001
instance1512 0.001 0.001
instance1513 0.001 0.001
instance1514 0.001 0.001
instance1515 0.001 0.001
instance1516 0.001 0.001
instance1517 0.001 0.001
instance1518 0.001 0.001
instance1519 0.001 0.001
instance1520 0.001 0.001
instance1521 0.001 0.001
instance1522 0.001 0.001
instance1523 0.001 0.001
instance1524 0.059 0.004
instance1525 0.057 0.042
instance1526 0.059 0.015
instance1527 0.046 0.006
instance1528 0.054 0.08
instance1529 0.055 0.093
instance1530 0.047 0.007
instance1531 0.062 0.1
instance1532 0.064 0.116
instance1533 0.046 0.02
instance1534 0.052 0.109
instance1535 0.069 0.083
instance1536 0.059 0.101
instance1537 0.064 0.077
instance1538 0.062 0.09
instance1539 0.051 0.005
instance1540 0.053 0.058
instance1541 0.051 0.109
instance1542 0.07 0.111
instance1543 0.059 0.066
instance1544 0.07 0.075
instance1545 0.049 0.029
instance1546 0.058 0.087
instance1547 0.055 0.023
instance1548 0.058 0.11
instance1549 0.067 0.11
instance1550 0.045 0.009
instance1551 0.06 0.023
instance1552 0.051 0.011
instance1553 0.073 0.107
instance1554 0.058 0.112
instance1555 0.05 0.007
instance1556 0.05 0.011
instance1557 0.066 0.146
instance1558 0.05 0.024
instance1559 0.051 0.004
instance1560 0.054 0.007
instance1561 0.068 0.109
instance1562 0.06 0.004
instance1563 0.048 0.005
instance1564 0.057 0.084
instance1565 0.056 0.056
instance1566 0.041 0.005
instance1567 0.074 0.08
instance1568 0.054 0.131
instance1569 0.045 0.016
instance1570 0.058 0.018
instance1571 0.065 0.11
instance1572 0.056 0.003
instance1573 0.045 0.004
instance1574 0.048 0.003
instance1575 0.064 0.099
instance1576 0.057 0.061
instance1577 0.054 0.017
instance1578 0.062 0.08
instance1579 0.066 0.102
instance1580 0.05 0.006
instance1581 0.049 0.003
instance1582 0.053 0.003
instance1583 0.075 0.069
instance1584 0.065 0.008
instance1585 0.068 0.102
instance1586 0.059 0.074
instance1587 0.045 0.005
instance1588 0.062 0.019
instance1589 0.068 0.096
instance1590 0.059 0.093
instance1591 0.054 0.019
instance1592 0.059 0.125
instance1593 0.071 0.093
instance1594 0.053 0.055
instance1595 0.049 0.004
instance1596 0.069 0.122
instance1597 0.055 0.047
instance1598 0.047 0.007
instance1599 0.067 0.118
instance1600 0.062 0.021
instance1601 0.045 0.006
instance1602 0.071 0.092
instance1603 0.064 0.054
instance1604 0.05 0.014
instance1605 0.051 0.099
instance1606 0.059 0.056
instance1607 0.056 0.09
instance1608 0.053 0.004
instance1609 0.07 0.077
instance1610 0.046 0.093
instance1611 0.073 0.095
instance1612 0.044 0.122
instance1613 0.082 0.085
instance1614 0.048 0.083
instance1615 0.053 0.122
instance1616 0.052 0.004
instance1617 0.049 0.003
instance1618 0.057 0.06
instance1619 0.049 0.005
instance1620 0.039 0.004
instance1621 0.064 0.078
instance1622 0.059 0.103
instance1623 0.06 0.021
instance1624 0.066 0.126
instance1625 0.051 0.007
instance1626 0.047 0.004
instance1627 0.058 0.098
instance1628 0.064 0.084
instance1629 0.055 0.017
instance1630 0.066 0.091
instance1631 0.049 0.003
instance1632 0.037 0.003
instance1633 0.063 0.02
instance1634 0.067 0.083
instance1635 0.062 0.091
instance1636 0.043 0.006
instance1637 0.055 0.017
instance1638 0.047 0.004
instance1639 0.056 0.075
instance1640 0.05 0.004
instance1641 0.066 0.1
instance1642 0.059 0.052
instance1643 0.047 0.005
instance1644 0.054 0.014
instance1645 0.054 0.064
instance1646 0.063 0.135
instance1647 0.069 0.086
instance1648 0.072 0.136
instance1649 0.055 0.003
instance1650 0.06 0.09
instance1651 0.063 0.019
instance1652 0.049 0.005
instance1653 0.061 0.116
instance1654 0.063 0.1
instance1655 0.063 0.093
instance1656 0.062 0.044
instance1657 0.054 0.02
instance1658 0.06 0.092
instance1659 0.068 0.103
instance1660 0.043 0.003
instance1661 0.061 0.048
instance1662 0.049 0.003
instance1663 0.062 0.049
instance1664 0.075 0.015
instance1665 0.045 0.005
instance1666 0.055 0.018
instance1667 0.067 0.092
instance1668 0.042 0.004
instance1669 0.047 0.091
instance1670 0.059 0.049
instance1671 0.073 0.052
instance1672 0.049 0.004
instance1673 0.068 0.087
instance1674 0.065 0.107
instance1675 0.039 0.004
instance1676 0.058 0.091
instance1677 0.061 0.007
instance1678 0.063 0.05
instance1679 0.06 0.108
instance1680 0.047 0.003
instance1681 0.065 0.131
instance1682 0.067 0.085
instance1683 0.045 0.008
instance1684 0.047 0.016
instance1685 0.055 0.082
instance1686 0.06 0.003
instance1687 0.056 0.006
instance1688 0.061 0.099
instance1689 0.051 0.003
instance1690 0.072 0.115
instance1691 0.05 0.101
instance1692 0.048 0.049
instance1693 0.062 0.124
instance1694 0.059 0.113
instance1695 0.069 0.134
instance1696 0.053 0.017
instance1697 0.067 0.056
instance1698 0.073 0.082
instance1699 0.064 0.127
instance1700 0.048 0.022
instance1701 0.058 0.049
instance1702 0.075 0.102
instance1703 0.064 0.118
instance1704 0.073 0.132
instance1705 0.057 0.05
instance1706 0.048 0.003
instance1707 0.051 0.003
instance1708 0.041 0.006
instance1709 0.052 0.007
instance1710 0.052 0.004
instance1711 0.057 0.084
instance1712 0.046 0.016
instance1713 0.058 0.131
instance1714 0.056 0.017
instance1715 0.068 0.021
instance1716 0.064 0.095
instance1717 0.057 0.003
instance1718 0.066 0.054
instance1719 0.057 0.049
instance1720 0.056 0.102
instance1721 0.05 0.088
instance1722 0.052 0.004
instance1723 0.054 0.051
instance1724 0.006 0.024
instance1725 0.005 0.024
instance1726 0.006 0.042
instance1727 0.007 0.018
instance1728 0.007 0.018
instance1729 0.005 0.024
instance1730 0.005 0.027
instance1731 0.005 0.019
instance1732 0.006 0.025
instance1733 0.006 0.023
instance1734 0.005 0.021
instance1735 0.006 0.023
instance1736 0.005 0.028
instance1737 0.005 0.016
instance1738 0.005 0.021
instance1739 0.005 0.023
instance1740 0.006 0.017
instance1741 0.005 0.022
instance1742 0.006 0.021
instance1743 0.005 0.019
instance1744 0.005 0.02
instance1745 0.005 0.021
instance1746 0.005 0.018
instance1747 0.006 0.022
instance1748 0.007 0.024
instance1749 0.005 0.018
instance1750 0.005 0.028
instance1751 0.005 0.015
instance1752 0.005 0.022
instance1753 0.006 0.022
instance1754 0.007 0.021
instance1755 0.006 0.036
instance1756 0.006 0.019
instance1757 0.006 0.021
instance1758 0.007 0.024
instance1759 0.005 0.026
instance1760 0.006 0.022
instance1761 0.005 0.018
instance1762 0.006 0.034
instance1763 0.005 0.016
instance1764 0.005 0.017
instance1765 0.006 0.021
instance1766 0.006 0.023
instance1767 0.006 0.026
instance1768 0.006 0.021
instance1769 0.006 0.019
instance1770 0.006 0.037
instance1771 0.006 0.03
instance1772 0.005 0.025
instance1773 0.005 0.02
instance1774 0.005 0.022
instance1775 0.005 0.024
instance1776 0.007 0.032
instance1777 0.005 0.026
instance1778 0.006 0.036
instance1779 0.007 0.029
instance1780 0.006 0.04
instance1781 0.005 0.027
instance1782 0.006 0.028
instance1783 0.005 0.025
instance1784 0.005 0.015
instance1785 0.005 0.022
instance1786 0.005 0.023
instance1787 0.006 0.048
instance1788 0.008 0.03
instance1789 0.005 0.017
instance1790 0.007 0.022
instance1791 0.006 0.024
instance1792 0.009 0.031
instance1793 0.006 0.018
instance1794 0.006 0.022
instance1795 0.006 0.044
instance1796 0.005 0.021
instance1797 0.005 0.016
instance1798 0.005 0.02
instance1799 0.006 0.023
instance1800 0.005 0.046
instance1801 0.005 0.029
instance1802 0.005 0.034
instance1803 0.006 0.03
instance1804 0.005 0.062
instance1805 0.005 0.014
instance1806 0.006 0.038
instance1807 0.005 0.027
instance1808 0.005 0.026
instance1809 0.006 0.026
instance1810 0.005 0.025
instance1811 0.005 0.03
instance1812 0.005 0.016
instance1813 0.006 0.022
instance1814 0.006 0.018
instance1815 0.005 0.065
instance1816 0.006 0.034
instance1817 0.005 0.023
instance1818 0.005 0.028
instance1819 0.005 0.029
instance1820 0.007 0.031
instance1821 0.005 0.026
instance1822 0.005 0.029
instance1823 0.005 0.025
instance1824 0.006 0.033
instance1825 0.007 0.028
instance1826 0.006 0.028
instance1827 0.006 0.029
instance1828 0.006 0.023
instance1829 0.005 0.011
instance1830 0.005 0.023
instance1831 0.007 0.027
instance1832 0.005 0.026
instance1833 0.005 0.031
instance1834 0.006 0.041
instance1835 0.008 0.029
instance1836 0.006 0.023
instance1837 0.005 0.017
instance1838 0.006 0.03
instance1839 0.007 0.036
instance1840 0.005 0.022
instance1841 0.006 0.038
instance1842 0.006 0.029
instance1843 0.005 0.023
instance1844 0.005 0.032
instance1845 0.01 0.071
instance1846 0.006 0.036
instance1847 0.008 0.032
instance1848 0.006 0.034
instance1849 0.005 0.034
instance1850 0.007 0.033
instance1851 0.005 0.025
instance1852 0.007 0.025
instance1853 0.006 0.024
instance1854 0.006 0.026
instance1855 0.007 0.019
instance1856 0.006 0.037
instance1857 0.005 0.018
instance1858 0.005 0.025
instance1859 0.005 0.028
instance1860 0.006 0.019
instance1861 0.006 0.031
instance1862 0.005 0.019
instance1863 0.006 0.031
instance1864 0.005 0.032
instance1865 0.006 0.027
instance1866 0.006 0.023
instance1867 0.006 0.025
instance1868 0.005 0.023
instance1869 0.005 0.021
instance1870 0.008 0.026
instance1871 0.006 0.038
instance1872 0.005 0.022
instance1873 0.005 0.022
instance1874 0.005 0.02
instance1875 0.005 0.018
instance1876 0.005 0.023
instance1877 0.006 0.033
instance1878 0.005 0.026
instance1879 0.005 0.026
instance1880 0.007 0.025
instance1881 0.006 0.022
instance1882 0.005 0.013
instance1883 0.005 0.009
instance1884 0.006 0.02
instance1885 0.006 0.016
instance1886 0.006 0.026
instance1887 0.005 0.031
instance1888 0.005 0.023
instance1889 0.005 0.026
instance1890 0.006 0.029
instance1891 0.005 0.021
instance1892 0.006 0.027
instance1893 0.005 0.024
instance1894 0.006 0.022
instance1895 0.007 0.026
instance1896 0.005 0.023
instance1897 0.006 0.02
instance1898 0.006 0.024
instance1899 0.005 0.033
instance1900 0.005 0.025
instance1901 0.005 0.019
instance1902 0.006 0.032
instance1903 0.006 0.037
instance1904 0.007 0.03
instance1905 0.005 0.016
instance1906 0.005 0.024
instance1907 0.005 0.019
instance1908 0.008 0.031
instance1909 0.006 0.023
instance1910 0.005 0.053
instance1911 0.005 0.012
instance1912 0.005 0.026
instance1913 0.008 0.024
instance1914 0.005 0.027
instance1915 0.005 0.02
instance1916 0.005 0.022
instance1917 0.005 0.019
instance1918 0.005 0.025
instance1919 0.005 0.043
instance1920 0.005 0.018
instance1921 0.005 0.018
instance1922 0.005 0.012
instance1923 0.005 0.041
instance1924 0.024 0.208
instance1925 0.026 0.295
instance1926 0.024 0.355
instance1927 0.022 0.205
instance1928 0.024 0.267
instance1929 0.021 0.272
instance1930 0.035 0.313
instance1931 0.02 0.341
instance1932 0.019 0.35
instance1933 0.014 0.189
instance1934 0.013 0.197
instance1935 0.019 0.342
instance1936 0.019 0.237
instance1937 0.024 0.294
instance1938 0.021 0.216
instance1939 0.026 0.217
instance1940 0.025 0.292
instance1941 0.028 0.23
instance1942 0.02 0.302
instance1943 0.018 0.303
instance1944 0.021 0.334
instance1945 0.024 0.327
instance1946 0.021 0.328
instance1947 0.019 0.299
instance1948 0.024 0.198
instance1949 0.018 0.334
instance1950 0.015 0.189
instance1951 0.022 0.368
instance1952 0.026 0.33
instance1953 0.024 0.368
instance1954 0.023 0.199
instance1955 0.018 0.401
instance1956 0.024 0.347
instance1957 0.021 0.314
instance1958 0.017 0.284
instance1959 0.019 0.412
instance1960 0.026 0.296
instance1961 0.027 0.389
instance1962 0.019 0.223
instance1963 0.031 0.244
instance1964 0.018 0.267
instance1965 0.025 0.284
instance1966 0.027 0.246
instance1967 0.022 0.358
instance1968 0.013 0.324
instance1969 0.02 0.24
instance1970 0.024 0.328
instance1971 0.026 0.412
instance1972 0.025 0.223
instance1973 0.021 0.279
instance1974 0.014 0.318
instance1975 0.023 0.198
instance1976 0.026 0.21
instance1977 0.018 0.264
instance1978 0.018 0.306
instance1979 0.02 0.286
instance1980 0.023 0.232
instance1981 0.027 0.24
instance1982 0.023 0.27
instance1983 0.02 0.384
instance1984 0.023 0.194
instance1985 0.021 0.282
instance1986 0.023 0.363
instance1987 0.019 0.289
instance1988 0.027 0.31
instance1989 0.024 0.359
instance1990 0.024 0.398
instance1991 0.016 0.42
instance1992 0.022 0.282
instance1993 0.022 0.244
instance1994 0.016 0.364
instance1995 0.027 0.347
instance1996 0.02 0.34
instance1997 0.013 0.359
instance1998 0.012 0.24
instance1999 0.023 0.164
instance2000 0.023 0.377
instance2001 0.031 0.213
instance2002 0.026 0.322
instance2003 0.024 0.32
instance2004 0.018 0.313
instance2005 0.017 0.317
instance2006 0.022 0.333
instance2007 0.021 0.356
instance2008 0.026 0.299
instance2009 0.019 0.323
instance2010 0.019 0.411
instance2011 0.018 0.252
instance2012 0.027 0.309
instance2013 0.019 0.336
instance2014 0.022 0.336
instance2015 0.015 0.281
instance2016 0.02 0.299
instance2017 0.019 0.183
instance2018 0.025 0.251
instance2019 0.022 0.259
instance2020 0.021 0.209
instance2021 0.022 0.323
instance2022 0.014 0.426
instance2023 0.022 0.258
instance2024 0.019 0.396
instance2025 0.025 0.4
instance2026 0.028 0.393
instance2027 0.03 0.332
instance2028 0.022 0.487
instance2029 0.012 0.42
instance2030 0.027 0.307
instance2031 0.022 0.251
instance2032 0.021 0.403
instance2033 0.024 0.299
instance2034 0.025 0.248
instance2035 0.021 0.221
instance2036 0.024 0.377
instance2037 0.024 0.471
instance2038 0.024 0.353
instance2039 0.031 0.241
instance2040 0.026 0.424
instance2041 0.017 0.481
instance2042 0.022 0.273
instance2043 0.03 0.213
instance2044 0.022 0.466
instance2045 0.025 0.343
instance2046 0.039 0.431
instance2047 0.019 0.425
instance2048 0.017 0.232
instance2049 0.021 0.244
instance2050 0.02 0.458
instance2051 0.017 0.135
instance2052 0.023 0.326
instance2053 0.017 0.386
instance2054 0.015 0.388
instance2055 0.029 0.268
instance2056 0.024 0.286
instance2057 0.023 0.154
instance2058 0.019 0.259
instance2059 0.02 0.259
instance2060 0.017 0.345
instance2061 0.021 0.362
instance2062 0.025 0.318
instance2063 0.016 0.485
instance2064 0.022 0.445
instance2065 0.019 0.265
instance2066 0.021 0.234
instance2067 0.02 0.225
instance2068 0.028 0.373
instance2069 0.022 0.49
instance2070 0.022 0.398
instance2071 0.034 0.452
instance2072 0.026 0.299
instance2073 0.036 0.332
instance2074 0.027 0.409
instance2075 0.034 0.424
instance2076 0.021 0.206
instance2077 0.033 0.248
instance2078 0.019 0.35
instance2079 0.02 0.21
instance2080 0.019 0.4
instance2081 0.025 0.244
instance2082 0.016 0.437
instance2083 0.03 0.258
instance2084 0.021 0.312
instance2085 0.023 0.346
instance2086 0.02 0.194
instance2087 0.021 0.375
instance2088 0.021 0.309
instance2089 0.023 0.376
instance2090 0.018 0.327
instance2091 0.024 0.338
instance2092 0.025 0.237
instance2093 0.019 0.47
instance2094 0.017 0.423
instance2095 0.021 0.467
instance2096 0.023 0.431
instance2097 0.024 0.334
instance2098 0.02 0.427
instance2099 0.022 0.34
instance2100 0.029 0.248
instance2101 0.022 0.35
instance2102 0.023 0.288
instance2103 0.017 0.451
instance2104 0.025 0.312
instance2105 0.02 0.373
instance2106 0.019 0.457
instance2107 0.021 0.375
instance2108 0.021 0.311
instance2109 0.02 0.287
instance2110 0.022 0.437
instance2111 0.034 0.287
instance2112 0.028 0.354
instance2113 0.036 0.362
instance2114 0.028 0.388
instance2115 0.028 0.412
instance2116 0.015 0.41
instance2117 0.022 0.379
instance2118 0.013 0.221
instance2119 0.019 0.368
instance2120 0.024 0.384
instance2121 0.02 0.343
instance2122 0.018 0.415
instance2123 0.019 0.459
instance2124 0.041 0.844
instance2125 0.041 0.827
instance2126 0.033 0.669
instance2127 0.031 0.86
instance2128 0.051 0.8
instance2129 0.042 0.712
instance2130 0.029 0.757
instance2131 0.036 0.755
instance2132 0.032 0.749
instance2133 0.031 0.915
instance2134 0.032 0.856
instance2135 0.046 0.786
instance2136 0.04 0.864
instance2137 0.041 1.03
instance2138 0.058 0.7
instance2139 0.032 0.967
instance2140 0.045 0.935
instance2141 0.03 0.957
instance2142 0.049 0.943
instance2143 0.032 0.884
instance2144 0.047 0.81
instance2145 0.043 0.906
instance2146 0.052 0.883
instance2147 0.037 0.849
instance2148 0.024 0.785
instance2149 0.038 1.023
instance2150 0.029 0.689
instance2151 0.039 1.117
instance2152 0.038 0.902
instance2153 0.044 0.82
instance2154 0.046 0.979
instance2155 0.047 0.785
instance2156 0.047 0.781
instance2157 0.051 0.786
instance2158 0.051 0.843
instance2159 0.033 1.078
instance2160 0.039 1.278
instance2161 0.048 0.965
instance2162 0.051 1.034
instance2163 0.03 1.018
instance2164 0.053 1.089
instance2165 0.053 1.19
instance2166 0.058 1.113
instance2167 0.05 1.087
instance2168 0.033 1.05
instance2169 0.059 1.288
instance2170 0.053 0.999
instance2171 0.033 1.535
instance2172 0.026 1.31
instance2173 0.042 1.524
instance2174 0.041 1.136
instance2175 0.047 1.175
instance2176 0.029 1.514
instance2177 0.038 1.493
instance2178 0.037 1.279
instance2179 0.043 1.537
instance2180 0.038 1.116
instance2181 0.047 1.17
instance2182 0.035 1.314
instance2183 0.049 0.866
instance2184 0.065 1.094
instance2185 0.052 1.059
instance2186 0.038 1.222
instance2187 0.049 1.019
instance2188 0.028 1.187
instance2189 0.026 1.315
instance2190 0.067 1.099
instance2191 0.036 1.169
instance2192 0.054 1.062
instance2193 0.035 1.021
instance2194 0.031 1.159
instance2195 0.045 1.102
instance2196 0.028 1.102
instance2197 0.033 1.384
instance2198 0.037 1.176
instance2199 0.054 0.898
instance2200 0.054 1.059
instance2201 0.037 1.273
instance2202 0.05 1.172
instance2203 0.039 1.982
instance2204 0.052 0.888
instance2205 0.034 1.324
instance2206 0.029 1.402
instance2207 0.035 1.502
instance2208 0.036 1.521
instance2209 0.039 1.546
instance2210 0.032 1.449
instance2211 0.025 1.346
instance2212 0.038 1.344
instance2213 0.029 1.683
instance2214 0.029 1.527
instance2215 0.049 1.188
instance2216 0.055 1.192
instance2217 0.043 1.328
instance2218 0.051 1.262
instance2219 0.03 1.565
instance2220 0.038 1.633
instance2221 0.055 1.426
instance2222 0.03 1.481
